风萧萧{30天}{触发事件：“风萧萧兮易水寒”。获得稗田阿求的遗产，其效果为（激进倾向：+0.1，军用工厂建造速度：+10%）}{慷慨悲歌，壮士死国},,,,,,,,,,,,,,,,,,,
,黄金台{30天}{开启决议召回前人类村落的政治顾问，获得外卿，其效果为（政治点数：-25%，科研速度：+20%）}{千金买骨，求贤若渴},,,,,,,,,,,,,,,,,,
,,*顺从{30天}{绥靖政策追加效果：每日政治点数增长：+0.2，地区最大工业值：+20%，科研速度：+45%，工厂产出：+15%，军用工厂建造速度：-20%},,,,,,,,,,,,,,,,,
,,,*乐不思蜀{60天}{移除稗田阿求的遗产，以战争的消亡取代战争的阴影，效果变更：战争支持度：-10%，适役人口修正：+10%，建造速度：+50%，每周人力：+100}{为什么我们还要再战斗呢，幻想乡各方互相制约，让人类在与世无争的理想乡里再待一段时间吧},,,,,,,,,,,,,,,,
,,,,躬匠精神{60天}{稳定度：-5%，所有国家：获得躬匠精神（和人类村落的关系改变了+200）}{人类犯下的滔天罪行必须通过忏悔来赎罪},,,,,,,,,,,,,,,
,,,,,建造佛展{60天}{政治点数：-100，（命莲寺）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和命莲寺的关系+100），（联合县）添加1建筑位，添加1民用工厂，获得涅槃大佛展，其效果为（每日政治点数增长：+0.2，生活消费品工厂：-5%}{我们邀请佛教徒重回人类村落}（注：需要命莲寺没有内战）},,,,,,,,,,,,,,
,,,,,建造道观{60天}{政治点数：-100，（神灵庙）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和神灵庙的关系+100），（联合县）添加1建筑位，添加1民用工厂，获得信徒修炼课程，其效果为（生活消费品工厂：-6%）}{我们邀请道教徒重回人类村落},,,,,,,,,,,,,,
,,,,,人才回流{60天}{政治点数：-100，（神明信仰联盟）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和神明信仰联盟的关系+100），增加1个科研槽，获得工程技术学院，其效果为（民用类研究速度：+10%）}{一些人类移民去了”西人类村落“我们可以利用一些方法让其中一部分回来}（注：需要神明信仰联盟意识形态为改良）,,,,,,,,,,,,,,
,,,,,道具回归{60天}{政治点数：-100，（九十九工业）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和九十九工业的关系+100），（九十九工业）完成国策：合作军工项目}{还是有道具喜欢人类的，可以让他们继续和谐相处了}（注：需要九十九工业意识形态不为新规）,,,,,,,,,,,,,,
,,,,,政治支持{60天}{政治点数：-100，（叛乱同盟）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和叛乱同盟的关系+100），（叛乱同盟）政治危机追加效果：稳定度：+15%，所有拥有的地区：添加1基础设施，获得永不放弃的进步，其效果为（建造速度：+10%）}{我们可以支持鬼人正邪的统治，她现在已经饥不择食了}（注：需要鬼人正邪的政权还没有被颠覆）,,,,,,,,,,,,,,
,,,,,贡献血液{60天}{政治点数：-100，（斯卡雷特帝国）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和斯卡雷特帝国的关系+100），（斯卡雷特帝国）完成国策：加大和人类村落的合作，跳过国策：在人类村落建立影子政府、正当化控制人类}{吸血鬼需要血液，人类需要和平，并没有什么矛盾},,,,,,,,,,,,,,
,,,,,同修神社{60天}{政治点数：-100，（博丽神社）获得强烈的战略同盟（和人类村落的关系+100），（人类村落）获得强烈的战略同盟（和博丽神社的关系+100），（博丽神社）完成国策：修缮博丽神社，获得博丽的狂热信徒，其效果为（适役人口：+9%）}（注：需要博丽神社没有妖怪巫女的传言、就是妖怪巫女！！！）,,,,,,,,,,,,,,
